id,RA,DEC,plx,pmRA,pmDEC,Gmag,e_Gmag,BPmag,RPmag,RV,r,P
3056678235444149888,116.79921105257587,-4.699490909175027,0.1984831990693716,-1.7010427058157087,-1.586087832232188,17.217413,0.002860435090555479,17.570501,16.701036,,6.170568191608531,0.9646734770985276
3056683213306571264,116.60341785512426,-4.634382629742846,0.25678184942214627,-1.7511515098594275,-1.5819132734824735,18.35102,0.003099344036208279,18.799124,17.76223,,6.175046529340944,0.954492313195051
3056583982384053504,116.66921633770735,-4.762659850673066,0.2713093744387576,-1.8144750146832853,-1.5746858532817085,17.75952,0.002932455139456831,18.22464,17.172155,,6.178822123077325,0.9304531673444241
3056489974139547776,116.75336690742934,-4.754629115434744,0.09893524452520977,-1.7128351651604306,-1.612048420749446,17.756294,0.0029880590584112883,18.156036,17.19025,,6.193135941477397,0.967891029414723
3056684622055971328,116.72247391648901,-4.563786766177449,0.24280634250333452,-1.7534839215268514,-1.6934449046045537,18.467388,0.003270105836442467,18.848984,17.878473,,6.195007079808074,0.9552756139755106
3056585013176246400,116.63151847969907,-4.741193311010311,0.35493446047518357,-1.7417298354286943,-1.6077850762055752,18.931942,0.0036276909479605983,19.453535,18.276789,,6.217942274866496,0.912478335635371
3056684626355449728,116.71627823596491,-4.560561597970626,0.24229791973089923,-1.6446862481809883,-1.694850587436905,15.529847,0.002777665083870504,16.07522,14.838797,,6.3242189480013415,0.9407053168189252
3056679811692409216,116.8078785822379,-4.672558181795756,0.2379286968920577,-1.7706084276484135,-1.4607214077109933,18.67507,0.0033114330594169027,19.126942,18.084347,,6.34785532330539,0.7872768027572905
3056588105552755840,116.60465179777158,-4.707581010147076,0.25474570482888376,-1.6198776461709934,-1.5664677560344173,17.86546,0.0029819505014047603,18.26894,17.320513,,6.3573273566980015,0.9111985049388611
3056680984223186560,116.80287735381317,-4.631465781657042,0.30130883254266194,-1.81257123104702,-1.6471426872619805,17.365139,0.0028889738780437497,17.758686,16.8193,,6.359421204511358,0.933391660563306
3056489974139539456,116.74787053829814,-4.760754061654017,0.03305882972749381,-1.718302580431185,-1.6051144412004572,18.316694,0.0031470202698588297,18.773293,17.71673,,6.366433153074935,0.9574724965880224
3056683251965981440,116.60847591592939,-4.614127236293154,0.10653321609341197,-1.74962022371297,-1.5190660378826264,16.776981,0.002834759987060166,17.15191,16.244495,,6.371752556572602,0.9502921591224915
